Year,Month,Day,Weekend?,Hour,Primary Factor,Latitude,Longitude
2015,1,2,1,200,7,39.17600327,-86.53063151

2015,1,2,1,200,15,39.16427532,-86.51640856

2015,1,1,0,0,12,39.093344,-86.5868

2015,1,6,0,2200,7,39.04934026,-86.51109208

2015,1,7,0,2300,7,39.164032,-86.570272

2015,1,2,1,300,20,39.175504,-86.527104

2015,1,2,1,1000,1,39.16122743,-86.51884571

2015,1,5,1,700,7,39.208544,-86.591504

2015,1,2,1,1500,4,39.2512,-86.652504

2015,1,2,1,1700,2,39.17662048,-86.56252288

2015,1,2,1,1600,2,39.15993981,-86.55382007

2015,1,3,1,1800,3,39.105552,-86.551104

2015,1,3,1,0,5,39.11584,-86.5312

2015,1,1,0,900,11,39.15149145,-86.40317983

2015,1,1,0,1300,1,39.16742706,-86.49314117

2015,1,6,1,1000,4,39.16864,-86.529696

2015,1,7,0,1500,15,39.157248,-86.559792

2015,1,7,0,1800,4,39.166656,-86.537296

2015,1,7,0,1900,8,39.14705763,-86.53257665

2015,1,7,0,2300,16,39.10921097,-86.53382873

2015,1,6,1,1300,17,39.176544,-86.5624

2015,2,1,0,100,7,39.17145984,-86.50680459

2015,1,7,0,1700,4,39.170544,-86.534768

2015,2,1,0,1100,8,39.19396833,-86.53335146

2015,1,7,0,1900,4,39.12144,-86.526496

2015,2,1,0,1500,14,39.163168,-86.516384

2015,2,1,0,1800,14,39.21936967,-86.44920774

2015,1,7,0,1800,7,38.85405138,-86.54503986

2015,1,7,0,300,21,39.30651541,-86.51481628

2015,2,2,1,900,2,39.156896,-86.582704

2015,2,2,1,1000,4,39.15816,-86.497792

2015,2,2,1,1100,2,0,0

2015,2,2,1,900,4,39.15462032,-86.49176401

2015,2,2,1,1200,2,39.17323818,-86.55512325

2015,2,2,1,1500,2,0,0

2015,2,2,1,1500,4,39.16144,-86.531056

2015,2,2,1,1100,4,39.16309007,-86.52020998

2015,2,3,1,900,2,39.16464,-86.568

2015,2,3,1,900,2,39.136144,-86.528688

2015,2,3,1,900,22,39.16180998,-86.56743228

2015,2,3,1,1400,2,39.149552,-86.575936

2015,2,3,1,1500,8,39.16394547,-86.49833535

2015,2,3,1,1600,14,39.171472,-86.509376

2015,2,3,1,1600,4,39.18056,-86.543968

2015,2,3,1,1400,8,39.156144,-86.521648

2015,2,3,1,1700,2,39.179008,-86.525888

2015,2,3,1,1700,4,39.179248,-86.5832

2015,2,3,1,1700,4,39.16664,-86.5336

2015,2,3,1,1900,1,39.166944,-86.495056

2015,2,3,1,1600,4,39.171744,-86.534768

2015,2,4,1,300,1,39.15620685,-86.56997233

2015,2,4,1,1100,7,39.163232,-86.520176

2015,2,4,1,1200,8,39.173648,-86.481888

2015,2,3,1,1300,4,39.152,-86.3812

2015,2,1,0,1300,4,0,0

2015,2,2,1,1000,7,0,0

2015,2,4,1,1300,8,39.173552,-86.515488

2015,2,4,1,1300,5,39.18907166,-86.52171325

2015,2,4,1,1700,2,0,0

2015,1,5,1,2000,2,39.21205902,-86.58701324

2015,2,3,1,2000,9,39.2512,-86.652504

2015,2,4,1,1500,23,39.23414396,-86.62434641

2015,2,2,1,1200,2,39.186352,-86.528496

2015,2,2,1,1600,8,39.17896861,-86.52179368

2015,2,4,1,1300,9,39.06173282,-86.41444601

2015,2,3,1,700,8,39.185232,-86.54060206

2015,2,7,0,1300,8,39.125312,-86.610496

2015,2,2,1,800,11,39.09659958,-86.52765655

2015,2,2,1,1000,11,39.00366138,-86.58485006

2015,2,2,1,1100,24,39.16425012,-86.52009644

2015,2,3,1,600,4,39.15744,-86.471456

2015,2,3,1,1100,1,39.17264,-86.522432

2015,2,3,1,1300,8,39.164465,-86.54881114

2015,2,3,1,1700,4,0,0

2015,2,6,1,1400,8,39.15412578,-86.49786768

2015,2,3,1,1700,18,39.16307055,-86.51640172

2015,2,3,1,1400,4,39.13652039,-86.55490112

2015,2,3,1,1800,8,39.16471431,-86.57198258

2015,2,3,1,1800,10,39.16846991,-86.52233241

2015,2,3,1,1600,24,39.16426018,-86.51639644

2015,2,3,1,1300,4,39.164752,-86.573104

2015,2,3,1,1100,4,39.15816,-86.497792

2015,2,4,1,1300,17,39.20146979,-86.58952027

2015,2,3,1,1400,11,39.12619019,-86.61423768

2015,2,6,1,1300,8,39.19372177,-86.61161804

2015,2,4,1,1200,15,39.16426449,-86.5226336

2015,2,4,1,1000,3,39.12221377,-86.57112747

2015,2,4,1,900,4,39.12156008,-86.53915978

2015,2,4,1,1400,2,39.16142978,-86.54615754

2015,2,3,1,1600,16,39.56294552,-86.61335974

2015,2,4,1,1600,8,39.164848,-86.57961274

2015,2,4,1,1200,17,39.163168,-86.516384

2015,2,4,1,1000,8,39.173216,-86.536

2015,2,4,1,1500,4,39.164544,-86.560096

2015,2,5,1,600,4,39.17896,-86.53472

2015,2,4,1,1200,8,39.1696,-86.525712

2015,2,5,1,1100,4,39.163344,-86.5272

2015,2,5,1,800,2,39.092976,-86.545648

2015,2,3,1,2000,16,39.07883089,-86.59434062

2015,2,5,1,1600,4,39.18335789,-86.52263

2015,2,5,1,1500,4,39.20619965,-86.61134338

2015,2,5,1,1700,2,39.18629,-86.52800767

2015,2,5,1,1700,2,39.164448,-86.525792

2015,2,2,1,2100,20,39.296352,-86.684896

2015,2,4,1,1500,2,39.09012095,-86.66591732

2015,2,5,1,1800,2,39.125312,-86.610496

2015,2,5,1,1600,17,39.111152,-86.5348

2015,2,4,1,1400,2,39.142048,-86.582592

2015,2,4,1,1600,14,39.137088,-86.53056

2015,2,5,1,2000,1,39.137088,-86.53056

2015,2,5,1,1200,24,39.11173798,-86.57913006

2015,2,6,1,700,8,39.16664,-86.53338831

2015,2,6,1,800,4,39.17168,-86.527024

2015,2,6,1,900,3,39.157616,-86.538592

2015,2,6,1,1200,1,39.164304,-86.506992

2015,2,6,1,1300,4,39.13992,-86.538416

2015,2,6,1,1300,2,39.16619049,-86.46728758

2015,2,6,1,1400,17,39.16846653,-86.52117709

2015,2,6,1,1500,2,0,0

2015,2,6,1,1700,4,39.18650045,-86.53435337

2015,2,6,1,1700,2,39.186032,-86.51984

2015,2,6,1,1700,4,39.18716267,-86.53412019

2015,2,6,1,1500,2,39.14976538,-86.56883016

2015,2,6,1,400,7,39.32758974,-86.62634029

2015,2,6,1,400,1,39.18584,-86.537872

2015,2,6,1,1200,8,39.13727951,-86.5280075

2015,2,7,0,800,3,39.15944,-86.53488

2015,2,7,0,800,9,39.17693733,-86.55863439

2015,2,7,0,1100,7,39.162352,-86.465488

2015,2,7,0,1100,17,39.186368,-86.5344

2015,2,7,0,1300,8,39.187124,-86.53782337

2015,2,7,0,1200,4,39.148144,-86.572992

2015,2,6,1,1200,10,39.173787,-86.51716386

2015,2,7,0,1500,14,39.16768436,-86.53081568

2015,2,6,1,1600,2,39.31185648,-86.5127544

2015,2,7,0,1600,8,39.133744,-86.50592

2015,2,7,0,1900,4,39.15825796,-86.49702465

2015,2,6,1,1600,4,39.12201105,-86.5709031

2015,2,7,0,2100,9,39.30670166,-86.5161972

2015,3,1,0,0,16,39.16424,-86.4984

2015,2,7,0,2100,2,39.15563017,-86.54330983

2015,3,1,0,200,11,39.171552,-86.515728

2015,3,1,0,300,11,39.17275989,-86.50468596

2015,3,1,0,100,11,39.16853026,-86.51242017

2015,2,4,1,1400,25,39.133808,-86.58258358

2015,3,1,0,900,8,39.16464,-86.53211918

2015,2,7,0,2100,3,39.16504,-86.610704

2015,3,1,0,1400,11,39.13576,-86.489488

2015,3,1,0,1600,8,39.15412578,-86.49786768

2015,3,1,0,1500,8,39.16115717,-86.53485253

2015,3,1,1,2200,11,39.159504,-86.538592

2015,3,1,1,2300,8,39.1662177,-86.51097988

2015,2,6,1,1100,4,39.09431839,-86.55906677

2015,3,2,1,900,1,39.17529009,-86.54432974

2015,3,2,1,800,11,39.21519851,-86.63041195

2015,3,2,1,1100,1,39.182975,-86.529121

2015,3,2,1,1200,17,0,0

2015,3,2,1,1400,2,39.17158912,-86.51939366

2015,3,2,1,1500,24,39.17392294,-86.51845431

2015,3,1,1,2200,11,39.171472,-86.509376

2015,3,2,1,1900,8,39.17157747,-86.51808392

2015,3,2,1,1800,4,39.178976,-86.536032

2015,3,2,1,1800,1,39.16655822,-86.492816

2015,3,2,1,1700,4,39.20824,-86.554704

2015,3,2,1,1400,8,39.145264,-86.577616

2015,3,2,1,1800,4,39.12141994,-86.53134986

2015,3,2,1,1000,8,39.1593799,-86.5537101

2015,3,1,0,1700,4,39.176848,-86.533424

2015,3,2,1,1600,2,39.01996772,-86.53611979

2015,3,2,1,1700,2,39.164688,-86.5712

2015,3,2,1,1900,7,39.16424,-86.476096

2015,3,2,1,1200,2,39.16664,-86.53444718

2015,3,3,1,800,8,39.179024,-86.539616

2015,3,7,0,1100,8,39.16424,-86.49307941

2015,3,7,0,1300,14,39.16426229,-86.51775641

2015,3,7,0,1500,2,39.17163022,-86.52237989

2015,3,7,0,1400,4,0,0

2015,3,7,0,1800,4,39.186368,-86.5344

2015,3,7,0,1700,2,39.30947257,-86.51445927

2015,3,6,1,1000,8,39.14107513,-86.58297729

2015,3,7,0,1100,8,39.33501622,-86.59342205

2015,3,1,0,1600,4,39.16424,-86.495088

2015,3,1,0,1400,8,39.12392521,-86.52665691

2015,3,5,1,1100,4,39.17645167,-86.56253061

2015,3,2,1,100,10,39.16658486,-86.5336078

2015,3,1,1,2300,8,39.16456,-86.5550845

2015,3,6,1,1600,8,39.17612549,-86.51898236

2015,3,2,1,800,20,39.1789307,-86.51916841

2015,3,2,1,1100,2,39.15379018,-86.53875008

2015,3,2,1,1400,8,39.166704,-86.5408

2015,3,1,0,1700,14,0,0

2015,3,7,0,1800,10,39.17135171,-86.50945074

2015,3,2,1,1600,3,39.148144,-86.572992

2015,3,2,1,1700,14,39.16335678,-86.51499176

2015,3,2,1,1200,8,39.16406237,-86.52593381

